skill,primary_role,median_salary,skill_type,salary_label
Python,Data Scientist,150000,Standard Technical,"$150,000"
Machine Learning,Machine Learning Engineer,190000,High Salary Technical,"$190,000"
SQL,Data Engineer,140900,Standard Technical,"$140,900"
Data Analysis,Analytics Engineer,145000,Standard Technical,"$145,000"
Communication,Data Scientist,150000,Soft Skill,"$150,000"
Data Visualization,Business Intelligence Engineer,142050,Standard Technical,"$142,050"
R,Research Scientist,183825,High Salary Technical,"$183,825"
Data Science,Data Scientist,150000,Standard Technical,"$150,000"
Tableau,Business Intelligence Engineer,142050,Standard Technical,"$142,050"
TensorFlow,Machine Learning Engineer,190000,High Salary Technical,"$190,000"
PyTorch,Machine Learning Engineer,190000,High Salary Technical,"$190,000"
Statistics,Research Scientist,183825,High Salary Technical,"$183,825"
AWS,MLOps Engineer,160000,Standard Technical,"$160,000"
Deep Learning,Machine Learning Scientist,165000,High Salary Technical,"$165,000"
Power BI,Business Intelligence Engineer,142050,Standard Technical,"$142,050"
Project Management,Data Architect,151898,Soft Skill,"$151,898"
Problem Solving,Data Scientist,150000,Soft Skill,"$150,000"
Computer Vision,Computer Vision Engineer,170200,High Salary Technical,"$170,200"
Data Mining,Data Engineer,140900,Standard Technical,"$140,900"
